"1" 2017-06-27 11:39:43 "NOTE" "initialized" "init_env" "completed initialization" ""
"62" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"63" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/South_America"
"64" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"65" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "process_dump_list" "submission to server" ""
"66" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "process_dump_list" "new context" "/media/obkms/RDF//10.3897_BDJ.1.e1000.xml.ttl"
"67" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"68" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"69" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"70" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "disambig_author" "Rule 2 fail (email)" "no matches"
"71" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "disambig_author" "no match, update the local authors db" "GolovatchNA"
"72" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"73" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "not match found for " "Diplopoda"
"74" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"75" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Glomeridae"
"76" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"77" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Taxonomy"
"78" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"79" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Millipede"
"80" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"81" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "not match found for " "Hyleoglomeris"
"82" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"83" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "not match found for " "new species"
"84" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"85" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-cave"
"86" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "qname" "URI will be forced to null" "#WN30Word-cave"
"87" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"88" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Chios"
"89" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"90" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Rhodes"
"91" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"92" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Kalymnos"
"93" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"94" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Greece"
"95" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"96" 2017-06-27 11:40:08 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Greece"
"97" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"98" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Aegean_Islands"
"99" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "lookup id" "failed lookup, generating new id" ""
"100" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.1.e1000.xml" "process_dump_list" "submission to server" ""
"101" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "process_dump_list" "new context" "/media/obkms/RDF//10.3897_BDJ.3.e7147.xml.ttl"
"102" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"103" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"104" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"105" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "disambig_author" "Rule 2 fail (email)" "no matches"
"106" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "disambig_author" "no match, update the local authors db" "ListonNA"
"107" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"108" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "disambig_author" "no match, update the local authors db" "ProusNA"
"109" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"110" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "disambig_author" "no match, update the local authors db" "BückerNA"
"111" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"112" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Tenthredinidae"
"113" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"114" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "not match found for " "Agriculture & Forestry"
"115" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"116" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "not match found for " "Biodiversity & Conservation"
"117" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"118" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Genetics"
"119" 2017-06-27 11:40:09 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"120" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "not match found for " "Eupareophora exarmata"
"121" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"122" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-sawfly"
"123" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "qname" "URI will be forced to null" "#WN30Word-sawfly"
"124" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"125" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "#larvae #WN30Word-larva"
"126" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "qname" "URI will be forced to null" "#larvae"
"127" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "qname" "URI will be forced to null" "#WN30Word-larva"
"128" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"129" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "not match found for " "prepupa"
"130" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"131" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Rosaceae"
"132" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"133" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "not match found for " "ash species"
"134" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"135" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Fraxinus"
"136" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"137" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Germany"
"138" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"139" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Europe"
"140" 2017-06-27 11:40:10 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "lookup id" "failed lookup, generating new id" ""
"141" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e7147.xml" "process_dump_list" "submission to server" ""
"142" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "process_dump_list" "new context" "/media/obkms/RDF//10.3897_BDJ.3.e4912.xml.ttl"
"143" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"144" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"145" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"146" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "disambig_author" "Rule 2 fail (email)" "no matches"
"147" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "disambig_author" "no match, update the local authors db" "WetzerNA"
"148" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"149" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "not match found for " "Crustacea"
"150" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"151" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Eumalacostraca"
"152" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"153" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Peracarida"
"154" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"155" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Isopoda"
"156" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"157" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Malacostraca"
"158" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"159" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "not match found for " "Theory & Methodology"
"160" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"161" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-habitat"
"162" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "qname" "URI will be forced to null" "#WN30Word-habitat"
"163" 2017-06-27 11:40:11 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"164" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-trap"
"165" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "qname" "URI will be forced to null" "#WN30Word-trap"
"166" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"167" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "not match found for " "night light"
"168" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"169" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-net"
"170" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "qname" "URI will be forced to null" "#WN30Word-net"
"171" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "lookup id" "failed lookup, generating new id" ""
"172" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "dbpedia_lookup" "found resrouce" "#WN30Word-sieve"
"173" 2017-06-27 11:40:12 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4912.xml" "qname" "URI will be forced to null" "#WN30Word-sieve"
