typeStatus,catalogNumber,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source
,,,day 3 of the expedition,VS_05_20,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Diptera,Syrphidae,Volucella,,bombylans,,species,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 3 of the expedition,VS_05_21,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Diptera,Asilidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 3 of the expedition,VS_05_22,Viktor Senderov,,2,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Diptera,Sciridae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 3 of the expedition,VS_05_23,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Diptera,Scenopinidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Heteroceridae,Heterocerus,,sp,,genus,,,,,,,,,,,,,,,Czech Republic,,,,,24,,,,,,,,,,,light trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Staphylinidae,Lordithon,,lunulatus,,species,,,,,,,,,,,,,,,Czech Republic,,,,,19e,,,,,,,,,,,fungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Staphylinidae,Paederus,,littoralis,,species,,,,,,,,,,,,,,,Czech Republic,,,,,19e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Staphylinidae,Stenus,,sp,,genus,,,,,,,,,,,,,,,Czech Republic,,,,,19e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Staphylinidae,Tachinus,,sp,,genus,,,,,,,,,,,,,,,Czech Republic,,,,,19e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Lucanidae,Lucanus,,cervus,,species,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
